Timecode List:,00:00.4,05:33.3,11:01.5,15:20.0,18:25.5,23:47.9,26:56.6,30:11.9,37:47.3
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.0,0,13,00:00.4,0.434,13,00:00.4,0.434
4,19825,00:11:01.5,661.494,27571,15:20.0,919.952,7746,04:18.5,258.458
5,27571,00:15:20.0,919.952,33132,18:25.5,1105.504,5561,03:05.6,185.552
6,33132,00:18:25.5,1105.504,42794,23:47.9,1427.893,9662,05:22.4,322.389
7,42794,00:23:47.9,1427.893,48449,26:56.6,1616.582,5655,03:08.7,188.689
8,48449,00:26:56.6,1616.582,54304,30:11.9,1811.943,5855,03:15.4,195.362
9,54304,00:30:11.9,1811.943,67951,37:47.3,2267.298,13647,07:35.4,455.355
10,67951,00:37:47.3,2267.298,78568,43:41.6,2621.552,10617,05:54.3,354.254
