Timecode List:,00:00:03.754,00:00:08.759,00:00:10.802,00:00:15.599,00:00:27.110,00:00:34.117,00:00:36.536,00:00:42.501,00:00:44.002,00:00:45.837,00:00:48.966,00:00:51.134,00:00:52.552,00:00:53.428,00:00:55.639,00:00:56.932,00:01:10.779,00:01:18.036,00:01:19.913,00:01:21.999
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,90,00:00:03.754,3.754,90,00:00:03.754,3.754
2,90,00:00:03.754,3.754,210,00:00:08.759,8.759,120,00:00:05.005,5.005
3,210,00:00:08.759,8.759,259,00:00:10.802,10.802,49,00:00:02.044,2.044
4,259,00:00:10.802,10.802,374,00:00:15.599,15.599,115,00:00:04.796,4.796
5,374,00:00:15.599,15.599,650,00:00:27.110,27.110,276,00:00:11.511,11.511
6,650,00:00:27.110,27.110,818,00:00:34.117,34.117,168,00:00:07.007,7.007
7,818,00:00:34.117,34.117,876,00:00:36.536,36.536,58,00:00:02.419,2.419
8,876,00:00:36.536,36.536,1019,00:00:42.501,42.501,143,00:00:05.964,5.964
9,1019,00:00:42.501,42.501,1055,00:00:44.002,44.002,36,00:00:01.501,1.501
10,1055,00:00:44.002,44.002,1099,00:00:45.837,45.837,44,00:00:01.835,1.835
11,1099,00:00:45.837,45.837,1174,00:00:48.966,48.966,75,00:00:03.128,3.128
12,1174,00:00:48.966,48.966,1226,00:00:51.134,51.134,52,00:00:02.169,2.169
13,1226,00:00:51.134,51.134,1260,00:00:52.552,52.552,34,00:00:01.418,1.418
14,1260,00:00:52.552,52.552,1281,00:00:53.428,53.428,21,00:00:00.876,0.876
15,1281,00:00:53.428,53.428,1334,00:00:55.639,55.639,53,00:00:02.211,2.211
16,1334,00:00:55.639,55.639,1365,00:00:56.932,56.932,31,00:00:01.293,1.293
17,1365,00:00:56.932,56.932,1697,00:01:10.779,70.779,332,00:00:13.847,13.847
18,1697,00:01:10.779,70.779,1871,00:01:18.036,78.036,174,00:00:07.257,7.257
19,1871,00:01:18.036,78.036,1916,00:01:19.913,79.913,45,00:00:01.877,1.877
20,1916,00:01:19.913,79.913,1966,00:01:21.999,81.999,50,00:00:02.085,2.085
21,1966,00:01:21.999,81.999,1980,00:01:22.582,82.582,14,00:00:00.584,0.584
